userid,participation
1157401414272355,2035
1001585659925992,1828
1244770712203948,1722
990632971026794,552
987920194610578,456
10207675081608741,300
966757780068615,267
1228561717171956,258
985416538190778,203
1123938694291507,202
10207552420841432,200
1124138344283213,169
220415891643957,161
534039336778842,112
10153940958696462,93
10205543461172072,87
1281817738500333,81
10153866481615259,74
943775989063530,73
10205664691039169,71
1121207477931928,70
982985461738159,62
10207399747324214,61
1140693765971383,56
960143800733649,51
10205594409754814,48
10205582254065703,46
1133995059967169,46
10207065410288282,46
983640155052977,44
1358769277482184,42
1104033049642062,38
222972424720103,37
10209542375819265,36
1047480871979439,36
10153464157692963,34
1094937300537779,33
1071623722909931,32
10205443496037598,32
1037679549630859,31
958902790830909,31
10205956796614187,28
1057069734358606,28
939626129439159,27
1039414482795299,25
957335787680834,25
924386774341756,22
1034549733250774,20
1183270251698268,16
10208242658081646,15
1150078175011733,15
1113907811974525,15
676512919117918,14
1046986135324279,12
1275865732428491,12
1292004474149123,12
10209265062163109,11
526919530829177,10
1311355118890238,9
180314669015478,8
1134916419873390,6
789163861214072,5
989306027803386,5
1078980505458464,3
10207371293791863,3
10206546018517435,2
10153644907298681,2
10201414452160107,1
